District_Number,School_ID,School_Grade,Highly_Effective_Count,Highly_Effective_Percent,Effective_Count,Effective_Perce t,Needs_Improvement_Count,Needs_Improvement_Percent,Development_Plan_Count,Development_Plan_Percent,Unsatisfactory_Count,Unsatisfactory_Percent,Not_Evaluated_Count,Not_Evaluated_Percent
1,01-0221,3,16,69.6,7,30.4,0,0,0,0,0,0,1,4.2
1,01-0112,2,17,42.5,22,55,1,2.5,0,0,0,0,4,9.1
1,01-0161,3,15,51.7,13,44.8,1,3.5,0,0,0,0,3,9.4
1,01-0171,3,37,94.9,2,5.1,0,0,0,0,0,0,4,9.3
1,01-0541,2,40,88.9,5,11.1,0,0,0,0,0,0,9,16.7
1,01-0953,4,6,66.7,3,33.3,0,0,0,0,0,0,1,10
1,01-0281,3,21,72.4,6,20.7,2,6.9,0,0,0,0,2,6.5
1,01-0421,3,65,87.8,9,12.2,0,0,0,0,0,0,2,2.6
1,01-0431,1,92,94.9,4,4.1,1,1,0,0,0,0,17,14.9
1,01-0481,2,39,61.9,23,36.5,1,1.6,0,0,0,0,1,1.6
1,01-0151,2,80,93,6,7,0,0,0,0,0,0,6,6.5
1,01-0331,3,32,84.2,6,15.8,0,0,0,0,0,0,2,5
1,01-0201,3,16,88.9,2,11.1,0,0,0,0,0,0,2,10
1,01-0482,1,49,94.2,3,5.8,0,0,0,0,0,0,3,5.5
1,01-0461,1,57,93.4,4,6.6,0,0,0,0,0,0,3,4.7
1,01-0121,2,28,65.1,13,30.2,2,4.7,0,0,0,0,1,2.3
1,01-0321,4,40,72.7,13,23.6,2,3.6,0,0,0,0,7,11.3
1,01-0031,2,46,92,4,8,0,0,0,0,0,0,7,12.3
1,01-0111,4,25,67.6,12,32.4,0,0,0,0,0,0,5,11.9
1,01-0502,2,42,70,18,30,0,0,0,0,0,0,4,6.3
1,01-0501,2,57,85.1,8,11.9,2,3,0,0,0,0,2,2.9
1,01-0071,4,15,55.6,12,44.4,0,0,0,0,0,0,5,15.6
1,01-0510,1,55,96.5,2,3.5,0,0,0,0,0,0,2,3.4
1,01-0091,2,52,92.9,4,7.1,0,0,0,0,0,0,4,6.7
1,01-0341,3,20,69,8,27.6,1,3.5,0,0,0,0,5,14.7
1,01-0520,1,56,94.9,3,5.1,0,0,0,0,0,0,5,7.8
1,01-0951,1,0,0,0,0,0,0,0,0,0,0,16,100
1,01-0311,3,27,73,10,27,0,0,0,0,0,0,4,9.8
1,01-0531,3,33,76.7,10,23.3,0,0,0,0,0,0,4,8.5
1,01-0261,2,32,94.1,2,5.9,0,0,0,0,0,0,2,5.6
1,01-0591,1,42,85.7,7,14.3,0,0,0,0,0,0,4,7.6
1,01-0411,1,19,100,0,0,0,0,0,0,0,0,2,9.5
1,01-0271,2,41,85.4,7,14.6,0,0,0,0,0,0,3,5.9
1,01-0041,2,32,76.2,9,21.4,1,2.4,0,0,0,0,3,6.7
1,01-0950,2,0,0,0,0,0,0,0,0,0,0,19,100
1,01-0101,2,12,66.7,6,33.3,0,0,0,0,0,0,1,5.3
1,01-0141,2,45,71.4,16,25.4,2,3.2,0,0,0,0,4,6
1,01-0561,2,49,92.5,4,7.6,0,0,0,0,0,0,4,7
2,02-0032,2,61,76.3,19,23.8,0,0,0,0,0,0,0,0
2,02-0012,2,73,85.9,11,12.9,1,1.2,0,0,0,0,4,4.5
2,02-0031,3,25,55.6,20,44.4,0,0,0,0,0,0,0,0
2,02-0013,1,39,97.5,1,2.5,0,0,0,0,0,0,0,0
2,02-0091,1,38,95,2,5,0,0,0,0,0,0,1,2.4
3,03-0491,1,73,80.2,17,18.7,0,0,1,1.1,0,0,3,3.2
3,03-0701,1,38,76,12,24,0,0,0,0,0,0,4,7.4
3,03-0711,1,18,81.8,3,13.6,1,4.6,0,0,0,0,5,18.5
3,03-0061,2,49,73.1,18,26.9,0,0,0,0,0,0,7,9.5
3,03-0571,1,63,73.3,22,25.6,0,0,1,1.2,0,0,1,1.2
3,03-0101,4,18,51.4,17,48.6,0,0,0,0,0,0,3,7.9
3,03-0091,3,43,71.7,16,26.7,1,1.7,0,0,0,0,9,13
3,03-0541,1,71,85.5,12,14.5,0,0,0,0,0,0,6,6.7
3,03-0461,3,44,84.6,8,15.4,0,0,0,0,0,0,1,1.9
3,03-0141,3,22,48.9,23,51.1,0,0,0,0,0,0,3,6.3
3,03-0151,3,39,78,11,22,0,0,0,0,0,0,3,5.7
3,03-0081,2,39,81.3,9,18.8,0,0,0,0,0,0,2,4
3,03-0551,2,64,77.1,19,22.9,0,0,0,0,0,0,2,2.4
3,03-0161,4,20,45.5,23,52.3,0,0,1,2.3,0,0,5,10.2
3,03-0131,3,29,65.9,15,34.1,0,0,0,0,0,0,5,10.2
3,03-0171,2,42,85.7,7,14.3,0,0,0,0,0,0,3,5.8
3,03-0111,1,24,88.9,3,11.1,0,0,0,0,0,0,2,6.9
3,03-0071,3,37,78.7,9,19.2,0,0,1,2.1,0,0,4,7.8
3,03-0331,2,36,57.1,27,42.9,0,0,0,0,0,0,3,4.6
