District_Number,School_ID,School_Name,Charter_School,Title_I,Alternative/ESE_Center_School,School_Type,Percent_of_Minority_Students,Percent_of_Economically_Disadvantaged_Students
01,01-0031,J. J. FINLEY ELEMENTARY SCHOOL,0,1,0,01,63,70.3
01,01-0041,STEPHEN FOSTER ELEMENTARY SCHOOL,0,1,0,01,66.2,85.4
01,01-0071,LAKE FOREST ELEMENTARY SCHOOL,0,1,0,01,91,100
01,01-0091,LITTLEWOOD ELEMENTARY SCHOOL,0,1,0,01,59.2,79.4
01,01-0101,W. A. METCALFE ELEMENTARY SCHOOL,0,1,0,01,95.7,100
01,01-0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,0,1,0,01,92.3,100
01,01-0112,ABRAHAM LINCOLN MIDDLE SCHOOL,0,0,0,02,76.7,77
01,01-0121,HOWARD W. BISHOP MIDDLE SCHOOL,0,0,0,02,70.4,80.1
01,01-0141,WESTWOOD MIDDLE SCHOOL,0,0,0,02,61.8,79.1
01,01-0151,GAINESVILLE HIGH SCHOOL,0,0,0,03,59.6,58.4
01,01-0161,ALACHUA ELEMENTARY SCHOOL,0,1,0,01,62,100
01,01-0171,ARCHER ELEMENTARY,0,1,0,01,48.3,79.2
01,01-0201,HAWTHORNE MIDDLE/HIGH SCHOOL,0,1,0,04,49.7,100
01,01-0221,A. L. MEBANE MIDDLE SCHOOL,0,0,0,02,52.1,91.5
01,01-0261,NEWBERRY HIGH SCHOOL,0,0,0,03,38.1,61.8
01,01-0271,SANTA FE HIGH SCHOOL,0,0,0,03,35.2,54.9
01,01-0281,CHESTER SHELL ELEMENTARY SCHOOL,0,1,0,01,46.6,100
01,01-0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,0,1,0,01,85.1,100
01,01-0321,IDYLWILD ELEMENTARY SCHOOL,0,1,0,01,83.8,100
01,01-0331,GLEN SPRINGS ELEMENTARY SCHOOL,0,1,0,01,45.5,75.7
01,01-0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,0,1,0,01,97.5,100
01,01-0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,0,0,0,03,44.3,62.2
01,01-0421,EASTSIDE HIGH SCHOOL,0,0,0,03,77.2,77.2
01,01-0431,F. W. BUCHHOLZ HIGH SCHOOL,0,0,0,03,44.8,30.8
01,01-0461,HIGH SPRINGS COMMUNITY SCHOOL,0,0,0,04,25.9,61.2
01,01-0481,FORT CLARKE MIDDLE SCHOOL,0,0,0,02,58.5,64.4
01,01-0482,HIDDEN OAK ELEMENTARY SCHOOL,0,1,0,01,52.1,35
01,01-0501,KIMBALL WILES ELEMENTARY SCHOOL,0,1,0,01,55.1,59.5
01,01-0502,KANAPAHA MIDDLE SCHOOL,0,0,0,02,58.5,64.6
01,01-0510,LAWTON M. CHILES ELEMENTARY SCHOOL,0,1,0,01,49.2,55.5
01,01-0520,MEADOWBROOK ELEMENTARY SCHOOL,0,1,0,01,42.7,34.7
01,01-0531,NEWBERRY ELEMENTARY SCHOOL,0,1,0,01,38.2,74.3
01,01-0541,C. W. NORTON ELEMENTARY SCHOOL,0,1,0,01,57.4,83.2
01,01-0561,WILLIAM S. TALBOT ELEM SCHOOL,0,1,0,01,43.1,51.8
01,01-0591,OAK VIEW MIDDLE SCHOOL,0,0,0,04,37.2,57.5
01,01-0950,THE ONE ROOM SCHOOL HOUSE PROJECT,1,1,0,01,79.1,100
01,01-0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",1,1,0,01,19.8,50.7
01,01-0953,CARING & SHARING LEARNING SCHOOL,1,1,0,01,99.6,100
01,01-0956,EXPRESSIONS LEARNING ARTS ACADEMY,1,0,0,01,37.6,25.9
01,01-0957,ALACHUA LEARNING ACADEMY ELEMENTARY,1,1,0,01,31.3,53.2
01,01-0958,GENESIS PREPARATORY SCHOOL,1,1,0,01,97.2,100
01,01-0961,MICANOPY  ACADEMY,1,0,0,04,29.9,17.8
01,01-0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,1,0,0,01,23.2,12.1
01,01-1011,ALACHUA LEARNING ACADEMY MIDDLE,1,0,0,02,44.2,56.6
01,01-1012,BOULWARE SPRINGS CHARTER,1,1,0,01,83,100
01,01-1013,RESILIENCE CHARTER SCHOOL INC,1,0,0,02,54.1,65.9
01,01-7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),0,0,0,04,30.8,33.3
01,01-7023,ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),0,0,0,01,35,36.4
02,02-0012,BAKER COUNTY SENIOR HIGH SCHOOL,0,0,0,03,17.5,65.7
02,02-0013,MACCLENNY ELEMENTARY SCHOOL,0,1,0,01,22.3,84
02,02-0031,J FRANKLYN KELLER INTERMEDIATE SCHOOL,0,1,0,01,20.4,87.6
02,02-0032,BAKER COUNTY MIDDLE SCHOOL,0,0,0,02,19.2,82.5
02,02-0091,WESTSIDE ELEMENTARY SCHOOL,0,1,0,01,16.5,100
03,03-0061,BAY HIGH SCHOOL,0,1,0,03,50,73.3
03,03-0071,MERRITT BROWN MIDDLE SCHOOL,0,1,0,02,18.9,100
03,03-0081,HUTCHISON BEACH ELEMENTARY SCHOOL,0,1,0,01,34.4,90.8
03,03-0091,CEDAR GROVE ELEMENTARY SCHOOL,0,1,0,01,59.7,85
03,03-0101,CALLAWAY ELEMENTARY SCHOOL,0,1,0,01,52.1,100
03,03-0111,MERRIAM CHERRY STREET ELEMENTARY,0,1,0,01,48.5,100
03,03-0131,LUCILLE MOORE ELEMENTARY SCHOOL,0,1,0,01,70.4,87.5
03,03-0141,EVERITT MIDDLE SCHOOL,0,1,0,02,55.7,100
03,03-0151,HILAND PARK ELEMENTARY SCHOOL,0,1,0,01,49.7,81.2
03,03-0161,JINKS MIDDLE SCHOOL,0,1,0,02,61.6,82.5
03,03-0171,LYNN HAVEN ELEMENTARY SCHOOL,0,0,0,01,24.5,71.6
03,03-0191,OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS,0,1,0,01,63.7,86.7
03,03-0201,SURFSIDE MIDDLE SCHOOL,0,0,0,02,22.9,51.8
03,03-0211,PARKER ELEMENTARY SCHOOL,0,1,0,01,52.1,87.5
03,03-0221,SOUTHPORT ELEMENTARY SCHOOL,0,1,0,01,7.8,100
03,03-0251,WALLER ELEMENTARY SCHOOL,0,1,0,01,9.3,100
03,03-0262,WEST BAY ELEMENTARY SCHOOL,0,1,0,01,17.5,100
03,03-0331,MOWAT MIDDLE SCHOOL,0,0,0,02,36.3,64.9
03,03-0341,RUTHERFORD HIGH SCHOOL,0,1,0,03,54.6,100
03,03-0461,DEER POINT ELEMENTARY SCHOOL,0,0,0,01,15.5,68
